d97c04493a; Thu Mar 11 11:24:15 2021 -0500; chore(ui): bump UI version in prep for 2.0.5 release (#20923)
9266b6c345; Tue Mar 9 17:46:07 2021 -0500; fix(tsm1): fix data race and validation in cache ring (#20843)
009e434581; Tue Mar 9 17:30:25 2021 -0500; test: replace influxlogger with zaptest logger (#20751)
6cd1435448; Tue Mar 9 17:04:01 2021 -0500; build: remove quay login before grace and litmus tests (#20748)
1575d2a72c; Tue Mar 9 16:29:57 2021 -0500; fix: single stats with thresholds won't crash with negative values (#20833)
8af4be0379; Tue Mar 9 16:08:06 2021 -0500; fix(ui): correct the default port used in UI examples (#20834)
fc632cecf0; Tue Mar 9 15:22:34 2021 -0500; fix(tsi): close series id iterator after merging (#20837)
74428f9b32; Tue Mar 9 15:01:22 2021 -0500; fix: update doc links to point at new site (#20841)
efecbc6083; Tue Mar 9 14:42:47 2021 -0500; refactor: reduce duplication in setup logic (#20835)
c79df51d7b; Tue Mar 9 14:23:24 2021 -0500; fix(tsm): use configured value instead of default when checking WAL segment size (#20839)
1758ce945e; Tue Mar 9 14:04:04 2021 -0500; feat(cmd/influx): add command to find and retry failed task runs (#20845)
aeb1d3619e; Tue Mar 9 13:39:41 2021 -0500; refactor: remove panics from CLI kit code and influxd CLI setup (#20900)
25cd34db0a; Mon Mar 8 16:30:13 2021 -0500; feat(cmd/influx): support reading GZIP data in `influx write` (#20846)
39da90a7da; Mon Mar 8 16:15:46 2021 -0500; feat(http): allow for disabling pprof (#20860)
0d0b71ad48; Mon Mar 8 15:47:20 2021 -0500; fix(ui): respect 24 hour clock format and allow more choices (#20872)
249695ea44; Mon Mar 8 15:15:32 2021 -0500; fix: make AST-based option parsing the default, remove feature flag (#20886)
4e7a59bb9a; Mon Feb 8 08:14:35 2021 -0500; chore: pin CHANGELOG for 2.0.4 (#20716)
b3fa9302cf; Fri Feb 5 17:15:03 2021 -0500; chore: add flux dictionaries to the swagger AST specification (#20708)
e1c42b4311; Fri Feb 5 17:01:05 2021 -0500; build: update naming conventions for release builds to prefer hyphens (#20709)
a6ad98cadd; Fri Feb 5 16:49:42 2021 -0500; fix(kit/cli): fix loading config from directories with '.' in the name (#20710)
cfb6476ea8; Thu Feb 4 10:57:32 2021 -0500; fix(http): fix passing of bucket ID by write-handler client (#20689)
38a08d9618; Wed Feb 3 15:22:57 2021 -0500; fix(cmd/influx): allow for creating users without initial passwords in `influx user create` (#20672)
889534387e; Wed Feb 3 12:31:51 2021 -0500; chore: update flux to pull latest fixes into release (#20688)
e5814a3870; Wed Feb 3 11:44:29 2021 -0500; fix(write): drop empty lines from write batches (#20671)
9097554575; Fri Jan 29 11:01:54 2021 -0800; feat(query/stdlib): promote schema and fill optimizations from feature flags (#20650)
1fc2cf1506; Fri Jan 29 10:11:01 2021 -0800; fix(packaging): don't overwrite existing config on package install (#20644)
961867a541; Thu Jan 28 11:02:31 2021 -0800; fix(cmd/influx): improve logging consistency in `influxd upgrade` (#20642)
9c57272f72; Wed Jan 27 08:00:23 2021 -0800; fix(cmd/influx): respect --skip-verify in `influx query` (#20611)
75e76414b7; Wed Jan 27 07:41:33 2021 -0800; fix(kv): log migration events at debug level to avoid spam (#20609)
4b4533779a; Tue Jan 26 22:26:34 2021 -0800; feat(cmd/influxd): add `influxd inspect export-lp` command to export LP (#20608)
9d7c997a3a; Tue Jan 26 22:00:34 2021 -0800; fix(influxql): set correct Content-Type on v1 query responses (#20592)
9d0eae12c6; Tue Jan 26 17:44:44 2021 -0800; feat(cmd/influxd): add launcher options to configure NATS server (#20591)
a31cadcfaf; Tue Jan 26 17:29:42 2021 -0800; fix(cmd/influxd): prevent panic on upgrade with V1 users and no V1 conf (#20558)
8e9eb6fdb3; Tue Jan 26 17:18:13 2021 -0800; feat(cmd/influxd): add `print-config` subcommand to support automation (#20550)
3ef71fcabd; Tue Jan 26 16:41:10 2021 -0800; feat(ui): update data sources page with latest telegraf plugins (#20616)
7eead9acbc; Tue Jan 26 16:15:37 2021 -0800; fix(ui): update Flux function list to reflect renamed package (#20615)
182d797988; Wed Jan 20 15:26:10 2021 -0800; fix(influxql): Prevent extra output row from GROUP BY crossing DST boundary (#20542)
cba7400b33; Tue Jan 19 18:06:00 2021 -0800; fix: inject more specific error message for bolt on shared FS (#20535)
1190d15a1b; Tue Jan 19 17:42:31 2021 -0800; fix(kit/cli): fix loading of .yml config files (#20534)
d6d95bb786; Tue Jan 19 16:47:12 2021 -0800; fix(kit/cli): don't ignore failures to mark CLI options as required (#20536)
cf45558f81; Tue Jan 19 16:24:30 2021 -0800; feat(cmd/influxd): add --overwrite-existing-v2 flag to influxd upgrade (#20537)
6d46ee03c8; Tue Jan 19 08:35:23 2021 -0800; fix(tsdb): allow backups during snapshotting, and don't leak tmp files (#20538)
f4f35b55f2; Thu Jan 14 09:08:00 2021 -0800; chore: fixup changes lost during cherry-pick
1073868bef; Thu Jan 14 09:08:00 2021 -0800; refactor: simplify how we set the top-level influxd logger
b32fa98a5e; Thu Jan 14 09:08:00 2021 -0800; refactor(cmd/influxd): parse log-level CLI opts directly to correct type
2d2683e2b7; Thu Jan 14 09:08:00 2021 -0800; refactor(cmd/influxd): separate CLI parsing from core launcher
c77030ed3e; Thu Jan 14 08:41:34 2021 -0800; build: add guards against using secrets in forked PR builds
0ec3fce8a6; Thu Jan 14 08:41:34 2021 -0800; build: adjust emulator setup and ordering for Docker cross-build
8b202575c8; Thu Jan 14 08:41:34 2021 -0800; build: rewrite our CI/CD pipeline to make ARM64 docker build work
04d5f9b910; Mon Jan 11 14:38:06 2021 -0800; fix(cmd/influxd): improve `influxd upgrade` logging, and require manual confirmation of data copy (#20472)
95b5b8bec9; Mon Jan 11 13:36:07 2021 -0800; fix(dbrp): improve DBRP API validation errors (#20471)
c56d8abc2f; Thu Jan 7 12:35:24 2021 -0800; build: update CI to produce multi-arch Docker builds (#20468)
187c08fc7e; Wed Jan 6 14:09:58 2021 -0800; chore: remove references to chronograf (#20457)
05d3e20352; Wed Jan 6 09:30:13 2021 -0800; build: fix build commands used by CI (#20458)
0d2f76e5ad; Wed Jan 6 08:45:16 2021 -0800; fix(http): don't return 500 errors for partial writes (#20455)
6c40ba54f8; Wed Jan 6 08:01:37 2021 -0800; fix(tsdb): never use an inmem index (#20456)
499aa4fc49; Wed Jan 6 06:50:44 2021 -0800; build: fix cache key used by godeps job (#20453)
cdac548ddd; Tue Jan 5 16:37:19 2021 -0800; fix(storage): use methods to set storage engine loggers (#20411)
cc36973923; Tue Jan 5 16:16:35 2021 -0800; fix(cmd/influx): improve CLI error returned on org-not-found (#20403)
e5fddd7c65; Tue Jan 5 15:54:29 2021 -0800; fix: don't duplicate text in task errors (#20402)
767b431647; Tue Jan 5 07:41:05 2021 -0800; chore(ui): bump UI version in prep for 2.0.4 release (#20393)
c3f4a9a829; Wed Dec 23 13:37:44 2020 -0800; build(ui): fix report generation & collection for JS tests (#20414)
677f32a2f4; Wed Dec 23 13:37:44 2020 -0800; test: bump & add timeouts in executor tests to avoid flaky failures (#20413)
c3b3c80961; Wed Dec 23 13:37:44 2020 -0800; test: bump timeouts and retry counts to try fixing flaky test failures. (#20412)
32257a0df1; Tue Dec 22 14:04:31 2020 -0800; build: clean up CircleCI config (#20401)
97f27c4980; Tue Dec 22 08:43:15 2020 -0800; fix(onboarding): don't ignore failures to set initial password (#20354)
eda0e3a7f4; Mon Dec 21 13:06:53 2020 -0800; build: delete dead promQL transpiler adapter & test suite (#20372)
54d2f55eda; Fri Dec 18 14:09:35 2020 -0800; fix: don't use a finished context for graceful shutdown (#20375)
69719ff318; Fri Dec 18 11:16:08 2020 -0800; build: add new CI jobs for InfluxQL test suites (#20371)
bb5387df2b; Thu Dec 17 17:40:31 2020 -0800; fix(cli): don't overwrite stack name/desc on stack update (#20376)
