29f9ef9b; Tue Mar 23 15:35:01 2021 +0200; changes consul_service label value (#1143)
529d7be2; Thu Mar 18 16:12:02 2021 +0200; changes metricsFind api (#1137)
18cfc4be; Wed Mar 17 00:03:06 2021 +0200; Adds udp6 support for ingest servers (#1134)
b1aa8c3d; Mon Mar 15 21:10:47 2021 +0200; adds fake response for telegraph queries (#1130)
b457739f; Mon Mar 15 12:04:24 2021 +0200; Single dashboard (#1126)
238fe7d4; Thu Mar 11 11:39:14 2021 +0200; Update BestPractices.md (#1123)
d212f35a; Tue Mar 9 20:49:50 2021 +0000; Fixing examples of external.alert.source in documentation (#1120)
ad34f424; Tue Mar 9 18:51:00 2021 +0200; Changes tlsConfig init for proxy connections (#1121)
433fff00; Tue Mar 9 12:26:23 2021 +0200; duplicate timeseries fix for prometheus_buckets function (#1119)
364fdf4a; Tue Mar 9 09:18:19 2021 +0200; spelling fix: adjacent (#1115)
621bf037; Wed Mar 3 10:51:51 2021 +0200; Vmagent docs upd (#1104)
e154f4a6; Wed Mar 3 10:43:39 2021 +0200; Fix ingress discovery api (#1110)
f4f8f218; Wed Mar 3 07:46:10 2021 +0000; vmalert: docs update - status endpoint needs group ID, not group name (#1106)
f6114345; Tue Mar 2 13:27:09 2021 +0200; Adds webIndentity token for aws (#1099)
