,name,var,volatility
0,bench-index-db-add-tsids,71.92221987655887,> 10%
1,bench-index-db-add-tsids,83.2229295918024,> 10%
2,bench-index-db-add-tsids,73.93147855018023,> 10%
3,bench-index-db-add-tsids,80.29743881059059,> 10%
4,bench-index-db-add-tsids,75.53035936539973,> 10%
5,bench-index-db-add-tsids,80.03998119861228,> 10%
6,bench-index-db-add-tsids,59.66818087993825,> 10%
7,bench-index-db-add-tsids,75.20531667207928,> 10%
8,bench-index-db-add-tsids,67.25583455294564,> 10%
9,bench-index-db-add-tsids,70.95648347109469,> 10%
10,bench-index-db-add-tsids,75.61105104699865,> 10%
11,bench-index-db-add-tsids,72.79674194966094,> 10%
12,bench-index-db-add-tsids,85.19551278968365,> 10%
13,bench-index-db-add-tsids,86.2487989517326,> 10%
14,bench-index-db-add-tsids,81.79904028008963,> 10%
15,bench-index-db-add-tsids,78.82102827521885,> 10%
16,bench-index-db-add-tsids,76.35327111418424,> 10%
17,bench-index-db-add-tsids,85.18143709405474,> 10%
18,bench-index-db-add-tsids,76.66938319942946,> 10%
19,bench-index-db-add-tsids,60.10669922105982,> 10%
20,bench-index-db-add-tsids,75.6247801387558,> 10%
21,bench-index-db-add-tsids,86.3496839876468,> 10%
22,bench-index-db-add-tsids,81.43830838325175,> 10%
23,bench-index-db-add-tsids,75.55803743089999,> 10%
24,bench-index-db-add-tsids,89.82333781569186,> 10%
25,bench-index-db-add-tsids,76.72303312044139,> 10%
26,bench-index-db-add-tsids,80.01336480453776,> 10%
27,bench-index-db-add-tsids,74.85254343221409,> 10%
28,bench-index-db-add-tsids,78.45231375629805,> 10%
29,bench-index-db-add-tsids,85.08484064494051,> 10%
30,bench-index-db-add-tsids,86.41362741460429,> 10%
31,bench-index-db-add-tsids,71.52214663545273,> 10%
32,bench-index-db-add-tsids,71.78551885670753,> 10%
33,bench-index-db-add-tsids,84.36053473649731,> 10%
34,bench-index-db-add-tsids,86.36511612371636,> 10%
35,bench-index-db-add-tsids,73.48442910359923,> 10%
36,bench-index-db-add-tsids,87.85806527642978,> 10%
37,bench-index-db-add-tsids,69.52155991609533,> 10%
38,bench-index-db-add-tsids,87.74522405022819,> 10%
39,bench-index-db-add-tsids,76.56767406040028,> 10%
40,bench-index-db-add-tsids,74.78034821769936,> 10%
41,bench-index-db-add-tsids,72.66574690596927,> 10%
42,bench-index-db-add-tsids,97.85596789307817,> 10%
43,bench-index-db-add-tsids,38.551166264998095,> 10%
44,bench-index-db-add-tsids,34.4501515375526,> 10%
45,bench-index-db-add-tsids,48.759139377640395,> 10%
46,bench-index-db-add-tsids,31.414744356920313,> 10%
47,bench-index-db-add-tsids,38.10552598226258,> 10%
48,bench-index-db-add-tsids,47.98823920872993,> 10%
49,bench-index-db-add-tsids,98.849383290508,> 10%
50,bench-index-db-add-tsids,34.8154148244845,> 10%
51,bench-index-db-add-tsids,100.59464630071689,> 10%
52,bench-index-db-add-tsids,43.623579706250474,> 10%
53,bench-index-db-add-tsids,33.047627786321996,> 10%
54,bench-index-db-add-tsids,74.25477002552788,> 10%
55,bench-index-db-add-tsids,33.47512811175416,> 10%
56,bench-index-db-add-tsids,90.61758815352476,> 10%
57,bench-index-db-add-tsids,36.7424995732693,> 10%
58,bench-index-db-add-tsids,99.80307123132393,> 10%
59,bench-index-db-add-tsids,87.1161364917653,> 10%
60,bench-index-db-add-tsids,38.445924667481634,> 10%
61,bench-index-db-add-tsids,40.84415471807222,> 10%
62,bench-index-db-add-tsids,101.61382805409235,> 10%
63,bench-index-db-add-tsids,52.44646872717274,> 10%
64,bench-index-db-add-tsids,50.2483552200947,> 10%
65,bench-index-db-add-tsids,49.26364269523868,> 10%
66,bench-index-db-add-tsids,55.91428681991202,> 10%
67,bench-index-db-add-tsids,56.4305926309169,> 10%
68,bench-index-db-add-tsids,56.70506237999448,> 10%
69,BenchmarkAddMulti-items_1000-2,4.806345155471214,3% - 5%
70,BenchmarkAddMulti-items_1000-2,2.5725536931978987,1% - 3%
71,BenchmarkAddMulti-items_1000-2,1.204913376131156,1% - 3%
72,BenchmarkAddMulti-items_1000-2,2.4409157088640003,1% - 3%
73,BenchmarkAddMulti-items_1000-2,4.437899939209199,3% - 5%
74,BenchmarkAddMulti-items_1000-2,5.070435028855669,5% - 10%
75,BenchmarkAddMulti-items_1000-2,1.8310467393201635,1% - 3%
76,BenchmarkAddMulti-items_1000-2,2.2666349107344774,1% - 3%
77,BenchmarkAddMulti-items_1000-2,9.126120495052104,5% - 10%
78,BenchmarkAddMulti-items_1000-2,6.552627538822808,5% - 10%
79,BenchmarkAddMulti-items_1000-2,4.8493738104199995,3% - 5%
80,BenchmarkAddMulti-items_1000-2,2.7876633185531015,1% - 3%
81,BenchmarkAddMulti-items_1000-2,3.9331006307932626,3% - 5%
82,BenchmarkAddMulti-items_1000-2,3.7015353002592737,3% - 5%
83,BenchmarkAddMulti-items_1000-2,2.170897087141433,1% - 3%
84,BenchmarkAddMulti-items_1000-2,2.123019409214022,1% - 3%
85,BenchmarkAddMulti-items_1000-2,3.225310755455413,3% - 5%
86,BenchmarkAddMulti-items_1000-2,2.5173460473767895,1% - 3%
87,BenchmarkAddMulti-items_1000-2,4.197610461448297,3% - 5%
88,BenchmarkAddMulti-items_1000-2,3.5171180416127545,3% - 5%
89,BenchmarkAddMulti-items_1000-2,12.948909772283745,> 10%
90,BenchmarkAddMulti-items_1000-2,3.2353153413190894,3% - 5%
91,BenchmarkAddMulti-items_1000-2,2.060059403294212,1% - 3%
92,BenchmarkAddMulti-items_1000-2,4.314357214271259,3% - 5%
93,BenchmarkAddMulti-items_1000-2,3.5619839426655924,3% - 5%
94,BenchmarkAddMulti-items_1000-2,7.78870754264116,5% - 10%
95,BenchmarkAddMulti-items_1000-2,2.5376119938286923,1% - 3%
96,BenchmarkAddMulti-items_1000-2,2.6101951727190875,1% - 3%
97,BenchmarkAddMulti-items_1000-2,2.382329548309736,1% - 3%
98,BenchmarkAddMulti-items_1000-2,1.8525920211045044,1% - 3%
99,BenchmarkAddMulti-items_1000-2,5.020419146943911,5% - 10%
100,BenchmarkAddMulti-items_1000-2,2.7536883412447324,1% - 3%
